Laser intensity (%), Average photon count, Error
0.00e+00,-6.341729853936448405e-04,nan
1.00e+00,5.999463362830627366e-02,2.449380199730255836e-01
2.00e+00,6.271466030149923376e-02,2.504289526023283918e-01
3.00e+00,6.673704822170743733e-02,2.583351470894106328e-01
4.00e+00,6.757906215210414402e-02,2.599597317895680493e-01
5.00e+00,7.322309848085385708e-02,2.705976690233192761e-01
6.00e+00,8.449519591277657171e-02,2.906805736762891890e-01
7.00e+00,1.081865641180349558e-01,3.289172602920603095e-01
8.00e+00,2.474055472938402334e-01,4.973987809533113591e-01
9.00e+00,1.059613293039539883e+00,1.029375195465453086e+00
1.00e+01,2.864800524856799147e+00,1.692572162377958822e+00
1.10e+01,4.587347371390739781e+00,2.141809368592531904e+00
1.20e+01,5.638383326733137579e+00,2.374528021888378859e+00
1.30e+01,6.460628730541197129e+00,2.541776687779868205e+00
1.40e+01,7.211044629781210524e+00,2.685338829604415167e+00
1.50e+01,7.767685281100938255e+00,2.787056741636405821e+00
1.60e+01,8.489447385431549975e+00,2.913665626909091699e+00
1.70e+01,9.054758019889264986e+00,3.009112497047802925e+00
1.80e+01,9.590203459168844091e+00,3.096805363462296068e+00
1.90e+01,1.010067864279699812e+01,3.178156484944849147e+00
2.00e+01,1.056274269845251190e+01,3.250037338008982424e+00
2.10e+01,1.143447206987194065e+01,3.381489622913537829e+00
2.20e+01,1.192666637904015658e+01,3.453500597805096106e+00
2.30e+01,1.256890641865002145e+01,3.545265352360810418e+00
2.40e+01,1.331181711344409813e+01,3.648536297399834982e+00
2.50e+01,1.408347734582603117e+01,3.752795937141537586e+00
2.60e+01,1.492368803188263726e+01,3.863118951298631476e+00
2.70e+01,1.581770849408177781e+01,3.977148286659899945e+00
2.80e+01,1.663968503593013182e+01,4.079177004731485034e+00
2.90e+01,1.751912207332780724e+01,4.185585033579870995e+00
3.00e+01,1.823709091059261667e+01,4.270490710748896745e+00
4.00e+01,2.588783173645722613e+01,5.088008621892972982e+00
5.00e+01,3.551973408719123171e+01,5.959843461634813266e+00
6.00e+01,4.419216646336153076e+01,6.647718891722297130e+00
7.00e+01,5.312567087517393105e+01,7.288735890068587686e+00
8.00e+01,6.136454551808976277e+01,7.833552547732717919e+00
9.00e+01,6.942941343699632739e+01,8.332431424080027682e+00
1.00e+02,7.727699850715923446e+01,8.790733672860259418e+00
