Laser intensity [%],Average adc [a.u]
0.000000000000000000e+00,1.410417916416716599e-01
1.000000000000000000e+00,1.618876224755048998e+00
2.000000000000000000e+00,1.743261347730453936e+00
3.000000000000000000e+00,1.805828834233153435e+00
4.000000000000000000e+00,2.042721455708858436e+00
5.000000000000000000e+00,2.161697660467906346e+00
6.000000000000000000e+00,2.229904019196160547e+00
7.000000000000000000e+00,2.938802239552089635e+00
8.000000000000000000e+00,6.491401719656068714e+00
9.000000000000000000e+00,2.691142771445710835e+01
1.000000000000000000e+01,7.119871025794840591e+01
1.500000000000000000e+01,1.946512097580483953e+02
2.000000000000000000e+01,2.659527194561087526e+02
3.000000000000000000e+01,4.624521895620875966e+02
4.000000000000000000e+01,6.623336132773445115e+02
5.000000000000000000e+01,8.713664567086582338e+02
6.000000000000000000e+01,1.084113477304539174e+03
7.000000000000000000e+01,1.303264997000599806e+03
8.000000000000000000e+01,1.505378994201159685e+03
9.000000000000000000e+01,1.703220085982803539e+03
1.000000000000000000e+02,1.895764997000599806e+03
