Laser intensity [%],Average adc [a.u],Error [a.u]
0.0,-5.834391465621532186e-02,6.335267719174640710e+00
1.0,5.519506293804177233e+00,2.539861260823014888e+01
2.0,5.769748747737930117e+00,2.585905819086730872e+01
3.0,6.139808436397084179e+00,2.663905977847526785e+01
4.0,6.217273717993581528e+00,2.691076577677013404e+01
5.0,6.736525060238554907e+00,2.786199992765963174e+01
6.0,7.773558023975444264e+00,2.991261567498772678e+01
7.0,9.953163898859216374e+00,3.394285154786371095e+01
8.0,2.276131035103330191e+01,5.058181694134452044e+01
9.0,9.748442295963766924e+01,1.043452547564745458e+02
1.00e+01,2.635616482868255162e+02,1.703689060291804935e+02
1.10e+01,4.220359581679480812e+02,2.163740686499274091e+02
1.20e+01,5.187312660594486715e+02,2.392518664071144201e+02
1.30e+01,5.943778432097901714e+02,2.557545585126204060e+02
1.40e+01,6.634161059398713860e+02,2.703320841440450408e+02
1.50e+01,7.146270458612863195e+02,2.815709943576545697e+02
1.60e+01,7.810291594597026688e+02,2.938435256624268845e+02
1.70e+01,8.330377378298123858e+02,3.022087996616792225e+02
1.80e+01,8.822987182435336990e+02,3.122112502835926193e+02
1.90e+01,9.292624351373239051e+02,3.206157781699815246e+02
2.00e+01,9.717723282576311021e+02,3.270020690395238603e+02
2.10e+01,1.051971430428218582e+03,3.419384720480832698e+02
2.20e+01,1.097253306871694349e+03,3.481833977547289578e+02
2.30e+01,1.156339390515802052e+03,3.584185763367719915e+02
2.40e+01,1.224687174436857049e+03,3.679000814620528104e+02
2.50e+01,1.295679915815994946e+03,3.779093830388563333e+02
2.60e+01,1.372979298933202699e+03,3.906170325297208592e+02
2.70e+01,1.455229181455523531e+03,4.025545019363779602e+02
2.80e+01,1.530851023305571971e+03,4.128063979349329315e+02
2.90e+01,1.611759230746158210e+03,4.245022209610780806e+02
3.00e+01,1.677812363774520691e+03,4.333634399837034721e+02
4.00e+01,2.381680519754064790e+03,4.922673931077935094e+02
5.00e+01,3.196776067847210925e+03,1.112433247255964261e+03
6.00e+01,3.977294981702537825e+03,1.245533156591180614e+03
7.00e+01,4.781310378765653695e+03,1.362907910771312345e+03
8.00e+01,5.522809096628078805e+03,1.463006420376103733e+03
9.00e+01,6.248647209329668840e+03,1.550252891193470987e+03
1.00e+02,6.954929865644331585e+03,1.629010450242963088e+03
